Table S1. Detailed library-level information for samples passing through screening process.;;;;;;;;;;;;;;;;;;;;;;;;;
Library ID;Lab Indiv. ID;Skeletal codes;UDG;Skeletal element;Date (BCE/CE);Culture;Location;Country;Extraction protocol (see key below);Library preparation (see key below);Equivalent mg bone powder used for library preparation ;Shotgun raw sequences;Shotgun fraction raw sequences mapping to hg19;mtDNA sequences in alignment;mtDNA sequences aligning to target;Aligned mtDNA sequences remaining after deduping;mtDNA coverage;mtDNA median read length;mtDNA fraction damaged in last base;mtDNA haplogroup;mtDNA match fraction;mtDNA match fraction   95% CI;Perform 1240k capture?;1240k captured in pool? (number of libraries in pool);Used in analyses?
S1137.E3.L1;I1137;VN39, VN46, 0.7.MB.H2.M16;partial;petrous;1882-1745 calBCE (3480±20, PSUAMS-2410);Vietnam_Neolithic;Man Bac;Vietnam;*;3;6,0;159163;0,0016;304200;179;91;0,205;36;0,279;..;..;..;No;;No
S1137.E3.L2;I1137;VN39, VN46, 0.7.MB.H2.M16;partial;petrous;1882-1745 calBCE (3480±20, PSUAMS-2410);Vietnam_Neolithic;Man Bac;Vietnam;*;3;18,0;452533;0,0022;788536;680;263;0,582;37;0,308;..;..;..;No;;No
S2730.E3.L1;I1137;VN39;partial;petrous;1882-1745 calBCE (3480±20, PSUAMS-2410);Vietnam_Neolithic;Man Bac;Vietnam;*;3;7,5;93627;0,0026;622797;825;342;0,738;36;0,373;..;..;..;No;;No
S1680.E1.L1;I1680;AB40C;partial;petrous;60-220 calCE (1885±30 BP, Poz-81120, date suspect because C:N ratio of 3.75);Cambodia_IA;Vat Komnou, Angkor Borei;Cambodia;[42, 43];2;24,3;31107;0,0048;438619;804;447;1,17;41;0,347;B5a1a;0,981;..;Yes;No;Yes
S1680.E1.L2;I1680;AB40C;partial;petrous;60-220 calCE (1885±30 BP, Poz-81120, date suspect because C:N ratio of 3.75);Cambodia_IA;Vat Komnou, Angkor Borei;Cambodia;[42, 43];3;8,1;427649;0,0078;1048306;3571;269;0,595;36;0,219;..;..;..;Yes;Yes (2);Yes
S1680.E1.L4;I1680;AB40C;partial;petrous;60-220 calCE (1885±30 BP, Poz-81120, date suspect because C:N ratio of 3.75);Cambodia_IA;Vat Komnou, Angkor Borei;Cambodia;[42, 43];3;24,3;501922;0,0049;1037577;1883;823;2,01;38;0,278;R0;0,996;[0.902,0.999];Yes;No;Yes
S1680.E2.L1;I1680;AB40C;partial;petrous;60-220 calCE (1885±30 BP, Poz-81120, date suspect because C:N ratio of 3.75);Cambodia_IA;Vat Komnou, Angkor Borei;Cambodia;[42, 43];3;9,1;352875;0,0443;515579;1440;1002;1,81;30;0,369;..;..;..;Yes;Yes (4);Yes
S1680.E2.L2;I1680;AB40C;partial;petrous;60-220 calCE (1885±30 BP, Poz-81120, date suspect because C:N ratio of 3.75);Cambodia_IA;Vat Komnou, Angkor Borei;Cambodia;[42, 43];3;9,1;297156;0,0451;714435;1836;1061;1,91;30;0,382;..;..;..;Yes;Yes (4);Yes
S1680.E2.L3;I1680;AB40C;partial;petrous;60-220 calCE (1885±30 BP, Poz-81120, date suspect because C:N ratio of 3.75);Cambodia_IA;Vat Komnou, Angkor Borei;Cambodia;[42, 43];3;9,1;351599;0,0576;479503;1085;780;1,4;30;0,348;..;..;..;Yes;Yes (4);Yes
S1680.E2.L4;I1680;AB40C;partial;petrous;60-220 calCE (1885±30 BP, Poz-81120, date suspect because C:N ratio of 3.75);Cambodia_IA;Vat Komnou, Angkor Borei;Cambodia;[42, 43];3;2,7;350443;0,0443;569464;1228;658;1,16;29;0,423;..;..;..;Yes;Yes (4);Yes
S1680.E1.L3;I1680;AB40C;partial;petrous;60-220 calCE (1885±30 BP, Poz-81120, date suspect because C:N ratio of 3.75);Cambodia_IA;Vat Komnou, Angkor Borei;Cambodia;[42, 43];3;8,1;357099;0,0046;955116;3159;494;1,18;38;0,299;H27;0,644;..;Yes;Yes (2);No
S1859.E1.L1;I1859;VN22, 0.7.MB.H2.M15;partial;petrous;1887-1745 calBCE (3490±25 BP, PSUAMS-1920);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];2;24,7;33733;0,0009;600808;1958;915;2,15;39;0,306;M13b1;0,883;[0.753,0.949];Yes;No;Yes
S1859.E2.L1;I1859;VN22, 0.7.MB.H2.M15;partial;petrous;1887-1745 calBCE (3490±25 BP, PSUAMS-1920);Vietnam_Neolithic;Man Bac;Vietnam;*;3;6,3;127256;0,0018;570173;854;322;0,706;36;0,232;..;..;..;Yes;Yes (2);Yes
S1859.E2.L2;I1859;VN22, 0.7.MB.H2.M15;partial;petrous;1887-1745 calBCE (3490±25 BP, PSUAMS-1920);Vietnam_Neolithic;Man Bac;Vietnam;*;3;18,8;365605;0,0028;706455;1099;500;1,11;38;0,245;..;..;..;Yes;Yes (2);Yes
S1859.E3.L1;I1859;VN22, 0.7.MB.H2.M15;partial;petrous;1887-1745 calBCE (3490±25 BP, PSUAMS-1920);Vietnam_Neolithic;Man Bac;Vietnam;*;3;6,8;154697;0,0018;563799;720;256;0,559;36;0,21;..;..;..;Yes;Yes (2);Yes
S1859.E3.L2;I1859;VN22, 0.7.MB.H2.M15;partial;petrous;1887-1745 calBCE (3490±25 BP, PSUAMS-1920);Vietnam_Neolithic;Man Bac;Vietnam;*;3;20,3;366029;0,0033;921676;1192;534;1,17;37;0,284;..;..;..;Yes;Yes (2);Yes
S7239.E1.L1;I1859;VN22, 0.7.MB.H2.M15;partial;petrous;1887-1745 calBCE (3490±25 BP, PSUAMS-1920);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];3;8,3;375512;0,0094;1054954;8996;1297;2,71;35;0,398;M13;0,795;[0.735,0.843];Yes;No;Yes
S1859.E1.L2;I1859;VN22, 0.7.MB.H2.M15;minus;petrous;1887-1745 calBCE (3490±25 BP, PSUAMS-1920);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];1;12,3;3102963;0,0006;682613;1404;788;1,94;41;0,593;..;..;..;Yes;Yes (4);No^
S1859.E1.L3;I1859;VN22, 0.7.MB.H2.M15;minus;petrous;1887-1745 calBCE (3490±25 BP, PSUAMS-1920);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];1;12,3;3102963;0,0004;533500;1152;714;1,75;40;0,606;..;..;..;Yes;Yes (4);No^
S1859.E1.L4;I1859;VN22, 0.7.MB.H2.M15;minus;petrous;1887-1745 calBCE (3490±25 BP, PSUAMS-1920);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];1;12,3;3102963;0,0004;549332;1153;708;1,74;41;0,608;..;..;..;Yes;Yes (4);No
S1859.E1.L5;I1859;VN22, 0.7.MB.H2.M15;minus;petrous;1887-1745 calBCE (3490±25 BP, PSUAMS-1920);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];1;12,3;3102963;0,0006;790392;1619;864;2,11;41;0,604;M13b;0,812;[0.689,0.898];Yes;Yes (4);No^
S2497.E1.L4;I2497;VN41, 78.NN.M4.KB;partial;..;100 BCE - 100 CE;Vietnam_BA;Nui Nap;Vietnam;[42, 43];3;8,9;971625;0,0197;1529264;75150;19089;41;35;0,302;C7a2;0,991;[0.984,0.995];Yes;Yes (2);Yes
S2497.E1.L5;I2497;VN41, 78.NN.M4.KB;partial;..;100 BCE - 100 CE;Vietnam_BA;Nui Nap;Vietnam;[42, 43];3;8,9;1029284;0,0192;1481673;74875;21825;48,2;36;0,303;L3;0,943;[0.932,0.953];Yes;Yes (2);Yes
S2497.E2.L1;I2497;VN41, 78.NN.M4.KB;partial;..;100 BCE - 100 CE;Vietnam_BA;Nui Nap;Vietnam;*;3;9,3;256865;0,0081;700155;7887;1807;4,03;37;0,277;C7a2;0,908;[0.863,0.936];Yes;Yes (2);Yes
S2497.E3.L1;I2497;VN41, 78.NN.M4.KB;partial;..;100 BCE - 100 CE;Vietnam_BA;Nui Nap;Vietnam;*;3;5,8;119124;0,0068;380022;4374;2056;4,73;38;0,294;C7a2;0,969;[0.928,0.987];Yes;Yes (2);Yes
S7246.E1.L1;I2497;VN41a;partial;petrous;100 BCE - 100 CE;Vietnam_BA;Nui Nap;Vietnam;[42, 43];3;8,3;340768;0,0524;939399;39344;19515;43,5;37;0,279;C7a2;0,997;[0.990,0.999];Yes;No;Yes
S2497.E2.L2;I2497;VN41;partial;..;100 BCE - 100 CE;Vietnam_BA;Nui Nap;Vietnam;*;3;27,8;367601;0,0096;767899;7430;3643;8,45;38;0,31;C7a2;0,998;[0.970,1.000];Yes;Yes (2);No
